title,link,date,parsed_date
"Визначилися усі півфіналісти Ліги Європи та Ліги конференцій: з ким зіграє ""Шахтар""",https://sport.unian.ua/football/viznachilisya-usi-pivfinalisti-ligi-yevropi-ta-ligi-konferenciy-z-kim-zigraye-shahtar-13352010.html,"01:11, 17.04.2026",2026-04-17 01:11:00
"Росія готує новий наступ в Україні, залучає стратегічні резерви, - FT",https://www.unian.ua/war/viyna-v-ukrajini-rosiyani-gotuyut-noviy-nazemniy-nastup-zaluchayut-strategichni-rezervi-13351971.html,"23:06, 16.04.2026",2026-04-16 23:06:00
Нідерланди передадуть Україні протимінний корабель: Зеленський розкрив деталі,https://www.unian.ua/weapons/niderlandi-peredadut-ukrajini-protiminniy-korabl-zelenskiy-rozkriv-detali-13351962.html,"23:02, 16.04.2026",2026-04-16 23:02:00
Трамп відреагував на російську атаку по Києву,https://www.unian.ua/world/ataka-po-ukrajini-16-kvitnya-tramp-vidreaguvav-na-udar-po-kiyevu-13351959.html,"22:39, 16.04.2026",2026-04-16 22:39:00
"""Шахтар"" пробився до півфіналу Ліги конференцій",https://sport.unian.ua/football/shahtar-probivsya-do-pivfinalu-ligi-konferenciy-13351839.html,"21:40, 16.04.2026",2026-04-16 21:40:00
"Європейський Союз виділить Україні до 2,7 млрд євро, - Кос",https://www.unian.ua/economics/finance/yes-i-ukrajina-kos-anonsuvala-vidilennya-koshtiv-dlya-kiyeva-13351869.html,"20:46, 16.04.2026",2026-04-16 20:46:00
"Європейський Союз виділить Україні до 2,7 млрд євро, - Кос",https://www.unian.ua/economics/finance/yes-i-ukrajina-kos-anonsuvala-vidilennya-koshtiv-dlya-kiyeva-13351869.html,"20:46, 16.04.2026",2026-04-16 20:46:00
Графіки відключень на пʼятницю: чи будуть вимикати світло після масованого обстрілу,https://www.unian.ua/economics/energetics/grafiki-dtek-vidklyuchennya-svitla-na-zavtra-ne-prognozuyutsya-13351830.html,"20:14, 16.04.2026",2026-04-16 20:14:00
"Генштаб підтвердив удар по нафтопереробному заводу ""Туапсинський""",https://www.unian.ua/war/genshtab-pidtverdiv-udar-po-naftopererobnomu-zavodu-tuapsinskiy-13351809.html,"20:13, 16.04.2026",2026-04-16 20:13:00
"""Іншою я не могла бути"": Lama вперше зізналася, що зраджувала",https://www.unian.ua/lite/stars/lama-spivachka-ziznalas-u-zradi-ta-rozpovila-pro-ab-yuzivni-stosunki-13351662.html,"18:26, 16.04.2026",2026-04-16 18:26:00
"Відомий український актор розповів про ""ін'єкції краси"" та набір ваги",https://www.unian.ua/lite/stars/oleksiy-surovcev-aktor-ziznavsya-yaki-kosmetologichni-proceduri-robit-13351524.html,"17:27, 16.04.2026",2026-04-16 17:27:00
"Як приготувати хрустку мариновану цибулю, як у шашличній: головні секрети",https://www.unian.ua/recipes/appetizer/kak-zamarinovat-luk-dlya-salata-ili-shashlyka-luchshie-recepty-13351539.html,"17:00, 16.04.2026",2026-04-16 17:00:00
"У жахливій ДТП загинув колишній воротар ""Арсеналу"" та ""Ювентусу""",https://sport.unian.ua/football/aleks-manninger-zaginuv-kolishniy-vorotar-arsenalu-ta-yuventusa-pomer-vnaslidok-dtp-13352046.html,"03:22, 17.04.2026",2026-04-17 03:22:00
"Визначилися усі півфіналісти Ліги Європи та Ліги конференцій: з ким зіграє ""Шахтар""",https://sport.unian.ua/football/viznachilisya-usi-pivfinalisti-ligi-yevropi-ta-ligi-konferenciy-z-kim-zigraye-shahtar-13352010.html,"01:11, 17.04.2026",2026-04-17 01:11:00
"""Шахтар"" пробився до півфіналу Ліги конференцій",https://sport.unian.ua/football/shahtar-probivsya-do-pivfinalu-ligi-konferenciy-13351839.html,"21:40, 16.04.2026",2026-04-16 21:40:00
Який відновлений iPhone купити у 2026 році: експерти назвали 5 найкращих моделей,https://www.unian.ua/techno/gadgets/yakiy-iphone-kupiti-u-2026-roci-eksperti-nazvali-5-zbalansovanih-modeley-13351752.html,"04:35, 17.04.2026",2026-04-17 04:35:00
Фахівці протестували сотні смартфонів Xiaomi та назвали топ-5 найкращих,https://www.unian.ua/techno/gadgets/yakiy-xiaomi-kupiti-u-2026-roci-oglyadachi-obrali-5-modeley-na-bud-yakiy-byudzhet-13351647.html,"18:11, 16.04.2026",2026-04-16 18:11:00
Новий витік розкрив ключову особливість портативної консолі PlayStation 6,https://www.unian.ua/techno/hardware/harakteristiki-ps6-portativna-ps6-mozhe-zapuskati-igri-z-ps5-ta-ps4-bezposeredno-13351416.html,"15:45, 16.04.2026",2026-04-16 15:45:00
"Як приготувати хрустку мариновану цибулю, як у шашличній: головні секрети",https://www.unian.ua/recipes/appetizer/kak-zamarinovat-luk-dlya-salata-ili-shashlyka-luchshie-recepty-13351539.html,"17:00, 16.04.2026",2026-04-16 17:00:00
Найсмачніший кляр для риби: хрусткий зовні й ніжний всередині - один секретний інгредієнт,https://www.unian.ua/recipes/second-courses/fish-and-mushroom-dishes/naysmachnishiy-klyar-dlya-ribi-yak-prigotuvati-hrustkiy-13351137.html,"13:50, 16.04.2026",2026-04-16 13:50:00
"Його з’їдять навіть ті, хто не любить сочевицю: цей суп хочеться готувати знову і знову",https://www.unian.ua/recipes/first-courses/vegetable-soups/neveroyatno-vkusnyy-chechevichnyy-sup-kak-prigotovit-restorannoe-blyudo-13348722.html,"14:00, 15.04.2026",2026-04-15 14:00:00
